id,Emotion,Sentence
1520,Hài quá,Vợ đồng bằng với vợ miền núi ngất ơi
1521,Hài quá,nhắc bánh căn bánh xèo em đói luôn rồi chắc em ăn vài chục cái bánh căn 20 cái bánh xèo quá =>
1522,Hài quá,"hơi mụn nhưng chúc chị và mọi người có một năm mới bình an và chúc chị lun xinh đẹp , mạnh khoẻ , gặp nhìu may mắn và lun thành công nha ❤❤❤"
1523,Hài quá,Ẩm thực Việt Nam vừa rất tốt cho sức khỏe lại vừa ngon miệng. Những người Việt Nam tị nạn khỏi chế độ cộng sản đã giúp lan tỏa văn hóa của chúng ta đến với thế giới bên ngoài.
1524,Hài quá,"Miền Nam hay ăn sáng hủ tíu, bún riêu, bánh canh, bánh ướt bánh cuốn thịt nướng chả giò,..."
1525,Thật kinh tởm,Chào mọi người.
1526,Hài quá,"Coá 1 món ăn VN kg aj ăn đc như mình làk bắp luộc lần mình ăn 5 trái bắp MỸ , 6 trái bắp ta cách 1 ngày&đêm mình ăn 1 lần nay hơn 2 năm từ mùng 1 tết 2024>h ák gần 10 năm mình kg ăn cơm phở chay ák 🤭🤭🤭. !!!"
1527,Hài quá,Xinh chào ❤
1528,Hài quá,🎉ngon quá
1529,Ôi trời ơi,Năm 2026
1530,Thật kinh tởm,Nhìn hấp dẫn quá bạn
1531,Hài quá,Cảm ơn bạn đã chia sẻ món ăn ngon ở Huế ❤
1532,Hài quá,Mai mốt về Huế phải ghé chợ ni ăn hàng mới được
1533,Hài quá,Nhin thay to bún mắm nêm thèm quá luôn
1534,Hài quá,"Chảy nước miến luôn
Món mào cũng ngon"
1535,Ôi trời ơi,Quá ngon luôn
1536,Hài quá,Huế không chỉ nổi tiếng với bún bò ☺nhưng với mình thì vị Huế cay nha 😙còn đặc sản vùng miền nào thương nhớ nữa
1537,Hài quá,ngon quá ❤❤❤❤
1538,Hài quá,"Huế đồ ăn ngon lắm, ko lạt như miền bắc và không ngọt như miền nam"
1539,Hài quá,Ngon quá. Mình chưa được ăn bún mắm nêm bao giờ
1540,Sợ quá,Bắt chước n k tại cái số như vậy tại sao lại phải quy dưới ban tho cũng không biết vo tinh giết thôi chứ đâu có muốn giết đâu chắc không co y đâu hả vo y giết tại sao phải quy trước ban tho đe ta loi hả
1541,Hài quá,Bắt chước tên co Xi hoài nha
1542,Hài quá,Món ăn ngon quá cảm ơn bạn đã chia sẻ ❤
1543,Ôi trời ơi,Ngon quá
1544,Hài quá,Nhìn em trai ăn thấy ngon quá
1545,Sợ quá,không biết ngon không nhưng nhìn cái đường đi vào và nền nhà bên dưới đồ ăn mà nước ước đen dơ quá thấy không ăn nổi.  quản lý chợ khu đồ ăn mà.....
1546,Thật kinh tởm,"Trần Bình nói chuyện dễ thương quá hè,nghe gần gũi thân thương chi lạ!"
1547,Hài quá,"Nhức nách xưa rồi,phải nói là nhức cái răng giả"
1548,Hài quá,Những từ ngữ bây giờ quá phản cảm
1549,Hài quá,Chợ Tây linh Huế ở đường nào vậy Trần Bình. Hôm qua chị ăn cháo bò Nguyễn thiện thuật rồi.
1550,Hài quá,"Tôi mà sống ở đây chắc là khách ruột của chị, ăn 30 ngày / tháng quá😮"
1551,Hài quá,5:53 ở Huế mà cũng có đậu rồng nữa á 😳 lâu nay mình cứ tưởng mỗi miền Nam mới có chớ. hay thiệt
1552,Sợ quá,Rẻ thật
1553,Thật kinh tởm,Toi thích do an Việt Nam. Tu vi mẹ tôi cũng là người việt toi thích người Việt Nam ho nấu đồ ăn ăn ngon 🫠🫠👍
1554,Hài quá,Bạn chia sẻ hay quá cảm ơn bạn đã chia sẻ video rất hay đến cho những người hâm mộ
1555,Hài quá,Nấu đồ ăn ngon quá
1556,Hài quá,Huế có món mắm tôm chua ăn với thịt heo luộc 😂 ụi chao ơi nứt ruột 😂😂😂
1557,Hài quá,Bạn có fb k
1558,Hài quá,Cảm ơn Bạn chia sẻ món ăn Huế ngon tuyệt vời 💯🎉 mình cùng nhau đồng hành nha 🤝🫶👍🔔 cảm ơn Bạn rất nhiều nhiều 🩷❤️💖
1559,Hài quá,Tô mỳ này mà có 25k á.quá ngon quá rẻ
1560,Hài quá,Nhiều món ngon quá bạn ơi cám ơn bạn chia sẻ chúc bạn gia đình vui khỏe
1561,Hài quá,Ủa ở Huế sao bún ma😢 chan vừa nước mắm vừa mắm nêm thấy là lắm
1562,Hài quá,CẢM ƠN KÊNH
1563,Hài quá,Rẻ quá.
1564,Hài quá,Nhớ huế quá
1565,Hài quá,"Ở Huế ẩm thực thì rất đa dạng ,nhìn đã thấy hấp dẫn rồi chứ chưa cần ăn và có rất nhiều món ngon"
1566,Hài quá,Xem lại thèm về quê nội miền Trung xử Huế mình rồi nhớ đặc sản của xứ Huế wa 🤣
1567,Hài quá,Ai sang xứ Huế thì sang ai vào xứ Huế nhắn tin vào cùng 🎉
1568,Hài quá,Mắm ruốc kho thịt xứ Huế chỉ để chấm rau củ quả là ngom nhức nhối trong cái gọi là hấp thụ vào hai lỗ mũi 👃 mọi người.
1569,Hài quá,"Cảm ơn Trần Bình ,tôi chưa một ngày ở Huế nhưng nghe giọng Huế thì yêu mến và dễ thương quá,tôi có mẹ là người Huế"
1570,Sợ quá,nhiều món quá
1571,Hài quá,Ai xem mà ko thèm chấy nước miễn
1572,Hài quá,"Sao không có bánh nậm?????bánh nậm rất ngon, ăn là ghiền"
1573,Hài quá,"Nhức nách lun, toàn món ngon thôi. Chợ này bên trong thành nội Huế hả bác? 😊😊"
1574,Hài quá,Món ăn ngon quá cảm ơn bạn đã chia sẻ video ❤
1575,Hài quá,Tôi rất bất mình nói ngon nhất nách. Muốn oi câu nhất nách. Từ ngữ đó không có trong sách vở.
1576,Hài quá,Răng mình ở Huế mà không biết hè
1577,Hài quá,Mình miền nam nhìn cũng thấy ngon nữa mà chưa được ăn
1578,Hài quá,Ẩm thực chợ khá ngon 🎉
1579,Hài quá,"truyền thống, văn hóa, lịch sử, ẩm thực của VN dày như thế nào bảo sao các hãng đồ uống và đồ ăn nhanh nước ngoài ko có cửa tại VN :)))
đây mới chỉ là tính riêng 1 vùng văn hóa nhỏ của người Đại Việt xưa, r còn vùng văn hóa của người Champa, Khmer xưa nữa thì phải nói văn hóa của VN là quá dày và đa dạng.
Hãng nước ngoài vào VN thì chỉ có bị hòa tan vào guồng chứ ko trụ đc"
1580,Hài quá,Có con cá giò mà ông quay đi quay   lại tìm trợ giúp suốt 🎉
1581,Hài quá,Cho Xep
1582,Sợ quá,"Chu hoi: Thoi gian tốt nhất đến an o Che Xep la may giờ, Trần Binh?"
1583,Thật kinh tởm,"Món ăn xứ Huế là ngon trên cả tuyệt vời ,cảm ơn chủ kênh."
1584,Hài quá,Nè dung từ phải chuẩn phải kêu tuyển ngon đung nói nhức nặc nge không hai lắm
1585,Thật kinh tởm,Thích nhất ẩm thực Huê❤ chúc kênh phát triển
1586,Hài quá,"Nguoi hue tai sao khong biet banh bot loc tran 
?"
1587,Hài quá,"Nhớ Huế
Cậu Bình ăn ngon quá"
1588,Hài quá,Ở nơi mô ?
1589,Thật kinh tởm,Thích ẩm thực Huế lắm luôn ❤ chúc bạn luôn thành công nha❤
1590,Hài quá,Cai tu ngu.lacua.đan.ia.phuong.phep.vua.thua.le.lang.ngay.ca.vua.bao.đai.en.cho.xep.cung.phai.theo.quy.tac.nhap.gra.tuy.tuc.ok.
1591,Hài quá,Ngon rứa hè
1592,Hài quá,❤❤❤❤cảm ơn ơi bạn chia sẽ video hay nha 🎉🎉🎉🎉Mông đồng hành cùng Kênh ❤❤❤
1593,Hài quá,Vầy chỉ cần nấu nồi cơm rồi ra chợ mua đồ ăn về ăn ngon má rẻ hơn tự nấu
1594,Hài quá,"Xin cho hỏi từ saigon lên chợ xếp thì đi hình thức như thế nào , vì mình dg sống ở Pháp ve  nên kg biết cách thức để đi len chợ xếp,  cảm ơn"
1595,Hài quá,Hến xào thấy thèm ❤
1596,Hài quá,vn nhìu từ vui phong phú ng mien trung nấu ăn ngon đậm đà❤
1597,Hài quá,"Chú em làm YouTube ăn nói đừng xài những từ như nhức xương, nghe nó phan cảm quá, bớt lại nha"
1598,Sợ quá,Ăn uống mà nhức nhối thì ai mà ăn mi nói chi mà ngu rứa bỏ từ đó đi còn những người bánh bán hàng chứ không phải làm cho gia đình ăn nên đeo găng tay vào cẩn thận đừng bắt chiếc cộng sản búa xua
1599,Hài quá,"Ngon quá , gần nhà tôi ở Huế vậy mà trước đây không biết. Khi nào về Huế sẻ ăn . Hơn thế nữa là nhờ video này mà tôi mới biết kênh Trần Bình official nên đăng ký liền"
1600,Hài quá,Am thu que cho xef re va ngon
1601,Hài quá,Đúng là ngon nhức nách ngon nhức nách ngon nhức nách ngon nhức nách quá nhức nách quá
1602,Hài quá,"Trời đất tô bún mắm nêm chất lượng thiệt mà có 25 k , món ăn nào trong chợ cũng hấp dẫn hết sức"
1603,Hài quá,boi vi you tubet khong phai la nguoi Hue” Lai Can”
1604,Hài quá,"Nhin cha, nem ngon qua"
1605,Hài quá,He thấy chú Bình bữa nay nhìn đẹp trai và  phong độ quá ❤❤❤❤
1606,Hài quá,Bình ơi  chợ Xếp  ở  mô  rứa
1607,Hài quá,Nhìn thèm quá ng Huế nấu ăn ngon nhức nách
1608,Hài quá,Vui tính 😂
1609,Sợ quá,Ngon đẹp có gắng làm thêm nhiều video về cho ❤
1610,Hài quá,Đồng ý với bạn từ ngon nhứt nách ô hay
1611,Hài quá,Bởi vậy chợ bến thành ế củng vừa bán đồ nói trên trời ô hà tiền ít là ô dám mua đâu tôi là ở quận 1ma
1612,Hài quá,"Thấy anh ăn ngon, , , anh đẹp trai quá,,,, có vợ mấy con rồi"
1613,Hài quá,"Nhứt nách là gì, nghe sao mà ói quá hổng có ngửi thối lắm"
1614,Hài quá,Áo dài của Việt Nam mà Trung cộng cũng nhận vơ nữa là.
1615,Hài quá,Cho tôm không ngon đâu
1616,Hài quá,Món cứt là của bây
1617,Thật kinh tởm,nhận vơ quá đà
1618,Thật kinh tởm,trung cuốc ănh rác thì có 😒😒😒
1619,Hài quá,5:43 ghi nhầm thành Bánh mì Pháp phong cách Việt Nam chứ nhỉ? Chứ như vid nói thì vẫn là bánh mì Việt Nam mà =)))
1620,Hài quá,Người ta chỉ hỏi nguồn gốc bột mì từ đâu thế lên nguồn gốc bánh mỳ có từ đâu.
1621,Hài quá,"Không hiểu sao khi nghe các vấn đề về đất nước t đều ngẹn 😭 dù video chỉ quảng bá đồ ăn Việt nhưng t vẫn rưng rưng , Việt Nam giữ vững bản sắc văn hoá và ẩm thực quá tốt"
1622,Hài quá,"ở Huế có bánh Croissant to với vành đai dày nướng hơi qua lửa chút, bên trong có miếng lạp xưởng ngọt, có bán ở Huế thời VNCH . nó biến mất sau 75, con nít thoại ấy rất yêu thích nó. Yum!😊😢"
1623,Sợ quá,"Những năm gần đây, VN ngày càng phát triển, vị thế VN trên trường quốc tế ngày càng đc nâng cao. Thế giới đến với VN ngày càng nhiều hơn, họ biết đến VN nhiều hơn. Du khách sẽ là người đính chính những snghi sai lầm của thế giới về VN"
1624,Hài quá,Chả giò đã nâng tầm 3/ thành cộng đồng khát nước và sinh tồn huyền thoại bậc nhất thế giới!
1625,Hài quá,TQ có bánh tráng đâu mà nhận vơ. Còn bún với phở thì bắt chước VN mới đây mà cứ nhận đại là của mình mà được à...
1626,Hài quá,bánh xèo chưa thấy ai chê
1627,Hài quá,Đừng hỏi tại sao ai cũng ghét china
1628,Hài quá,Cứt mà không thối thì Trung Quốc cũng nhận là món ăn của họ
1629,Thật kinh tởm,"Bún chả ăn cũng tạm được chứ không phải ngon , còn tại sao ông Obama tới ăn thì chắc có nguyên nhân khác , khả năng cao là người hướng dẫn viên ngưởi Việt"
1630,Hài quá,Ê t ko bt tại sao nhưng t ko thíck ăn phở và 1 số món Việt Nam á!!mà t thích nhất là bánh xèo ^^
1631,Thật kinh tởm,Nguoi doc can phai hoc them cach phat am tieng anh . Co nay phát âm qua tê.
1632,Hài quá,Gỏi cuốn phải ăn với mắm nêm mới ngon.❤
1633,Thật kinh tởm,"Trong chế biến gạo thành Bột thì Người Việt là đầu bảng vì đất nước Việt đã phải ăn gạo xịn từ hàng ngàn năm rồi, nên các loại Bánh chế biến từ bột gạo là không ai trên thế giới qua được..."
1634,Hài quá,"Phở là của Người Việt vì bánh phở được chế biến từ Bột gạo, còn Mỳ được chế biến từ bột bột mỳ của Lúa lúa mạch nhé..."
1635,Thật kinh tởm,Ko đủ trình để tiếng Việt với lại tiếng Việt tây ko biết
1636,Hài quá,Nem rán cá nhân mình không thích
1637,Hài quá,Món của trung quốc  mà tại sao không thèm sang trung quốc ăn mà toàn ăn việt nam
1638,Thật kinh tởm,Món ăn việt nam là món ăn nấu cho tâm hồn ăn😂😂
1639,Thật kinh tởm,Dù là nguồn gốc nước nào nhưng vào tay việt nam là đặc sắc đậm chất đặc biệt nhất😂
1640,Hài quá,"Người ta nói rồi, ăn quả nhớ kẻ trồng cây. nhưng người trung quốc ăn nói vô ơn..ăn nói thiếu kiểm chứng? Có 1 nói 10 là của nước họ là không hay"
1641,Thật kinh tởm,Việt nam tổng hợp loài người  trung quốc còn phải học việt nam
1642,Hài quá,Việt nam thiếu gì món ăn ngon đặc biệt trung quốc chả có cái gì đặc biệt
1643,Hài quá,trung thì cái djt j chả nhận. Bọn mỹ thì đầu cno nghĩ china là cả châu á mà
1644,Thật kinh tởm,"Bánh mì, phở là những món xuất hiện sau khi việt nam là thuộc địa của Pháp. Ngày trước người việt không ăn thịt bò cũng chẳng có bột mì, Chẳng phải món ăn truyền thống,"
1645,Sợ quá,"nguoi Vn nen nho ro nhe, ca phe la cua Phap dua vao vn trong thoi ky thuc dan ,dung nhan vo la cua minh ,sau ho lam"
1646,Thật kinh tởm,"ca phe Vn < cai noi ngoi tren cai coc > uong vao nhieu co nuoc la tieu duong hang,< Sieu , Khung > vi qua ngot ..."
1647,Hài quá,"phai thi nhan ,khong phai thi khong nhan ,chu khong nhan vo , ro rang la banh mi , pate gan , thit jampong, la tu tieng Phap < nguoi vn  noi chai, theo tieng Phap  .> con banh mi ma nhet ben trong thit heo quay , vit quay ,xa xiu , xiu mai ,la mon an cua nguoi Hoa tai Vn , nguoi vn lay 2 nguon goc am thuc cua Phap ,va am thuc cua nguoi  Hoa ghep vao,  roi bo vai mien dua leo vai mien carot chua vao ,roi nha vo la banh mi cua vn ,khong biet ai da nhan vo, xau ho qua di, nhung nguoi tre chang biet gi ca ,noi nang bay ba . Con  nguoi vn nhan pho la mon an cua vn  cung la nhan vo , vi banh pho la tieng noi chai cua  nguoi mien bac Vn la tu tieng Hoa la <phanh hoo ngau duc thon >. hay la > <phanh hoo ngau duc din > tuc la hu tiu bo vo vien <phanh hoo la banh pho >cua nguoi mien bac goi ,  mot so nguoi Hoa di cu vao mien bac Vn tu the ky thu 18 ,19 tu mien nam Trung Quoc da so nguoi quang dong la mo quan an , hay ganh hang rong bang 2 thung cay vuong va cao de ganh hu tieu nuoc soup bo , sau nay nguoi hoa di cu sau vao mien nam Vn thi  <banh pho nguoi viet  mien bac goi>  con mien nam goi la < hu tiu tu tieng Trieu Chau > nguoi vn goi la tieng Tieu ,nguoi Tieu .Thoi gian do thi tu SAi Gon va ca tinh thanh mien nam Vn thi nhung quan nuoc cua nguoi Hoa goc Quang dong < Tq > mo ra nhieu hon , sau ngay giai phong thi nguoi Hoa o Vn van con ban qua nhieu the he con chau cho den ngay nay .Tai sao nguoi Vn goi la pho ,vi nguoi Vn cho la <pho> co nguon goc tu mien bac Vn . bay gio o mien nam Vn van con mot so hinh anh nguoi  Hoa ban < phanh hoo ngau duc thon > < pho nguoi Vn goi > bang 2 thung cay cao va vuong de ganh di ban moi noi, sau giai phong nhieu nguoi Vn ra nuoc ngoai thi hay mo tiem an la mo tiem pho ,vi no de nau, de an ,va banh truong ra nhieu , cho nen ngay nay nguoi Vn 1 va 2 van nhan vo ,pho la cua VN ma khong biet nguon goc nhu the nao van cai buong ..."
1648,Hài quá,Mấy thằng Trung Quốc lỏ ghen tị ấy mà
1649,Hài quá,Đến cái pizza mà mấy bố tàu còn nhận vơ ý chứ
1650,Hài quá,Tất cả bọn tàu đều nhận vơ của nó trừ sar covid :)))
1651,Hài quá,giờ  thì bọn mắt lương TQ không còn nhận vơ nửa rồi bị cả thế giới bóc  trần . bọn TQ còn ở đáy giếng chưa trồi lên được kkkkkkk
1652,Hài quá,miền trung gọi là chả ram:))
1653,Hài quá,"không hiểu sao nhiều người nói bánh xèo giống Okonomiyaki, mình từng làm ở Aeon chuyên làm món này, thật sự không thấy 1 điểm chung nào của 2 món luôn"
1654,Hài quá,Trung Quốc nó dùng phim và truyện để ăn cắp món ăn... chỉ cần phim chiếu ra các nước khác là nó đạt được y đồ rồi
1655,Hài quá,Cái gì cũng của TQ chỉ có covid corona là ko phải
1656,Thật kinh tởm,"Yêu tổ Quốc nhưng nên tôn trọng sự thật Phở, bún từ Trung Quốc Việt Nam ta từ Phỏ mới xuất hiện 200 năm nay do người pháp đặt còn họ có cả nghìn năm rồi. Nói có sách mách có trứng có quốn sách nào nói phở cách đấy  250 năm không"
1657,Thật kinh tởm,Cái mik tạo ra thì k chịu nhận mà i nhận vơ cái của ng khác tạo ra 😊😊😊
1658,Hài quá,Gì bọn nó cũng nhận mà covid thì nó từ chối
1659,Hài quá,bánh mì kẹp mới chuẩn.mày gọi bánh mì tao đưa cho mỗi cái bánh mì mày có nuốt dc ko
1660,Sợ quá,cái gì cũng nhận nhưng riêng covid thì ko :)))
1661,Thật kinh tởm,bị bất ngờ luôn
1662,Hài quá,Bánh xèo Bến Tre có thêm nhân  củ hủ dừa nha
1663,Hài quá,"có gì mới mẻ gì,đám Tàu cái gì nó không nhận của nó. Đất,đồ ăn,biển."
1664,Hài quá,ơ bộ người nước ngoài lạ lậm với cà phê phin lắm hả ở Việt Nam thì quá bình thường mà nước nước ngoài thấy lạ thì hồi xưa mấy ổng pha cà phê kiểu gì
1665,Thật kinh tởm,thanks ad vì đã cung cấp kiến thức và giúp cho người Việt cảm thấy tự hào về bề dày lịch sử và ẩm thực của chính người Việt
1666,Thật kinh tởm,"nhận vơ thì công nhận là được, cần gì tranh cãi"
1667,Hài quá,"Chỉ có """"Thịt Cầy 7 Món""'
không ai giành 😅😅"
1668,Hài quá,"Tự hào cái gì vậy ?!?!  . Nghe rất dị ứng. Tôi không xem hết nhưng trước khi có phở ngon  như bây giờ và bánh mì ""vn""  thì dân Việt vài trăm năm trước còn không biết làm sợi mì, sợi bún và cả bánh mì. Không phát minh được cái gì  mà tự  hào quá sẽ là tự nhục."
1669,Thật kinh tởm,Về món phở thì dễ phân biệt là sợi phở VN làm từ gạo còn bên Trung sợi mì làm từ lúa mì về cơ bản là cả hai món nó chẳng có liên quan gì đến nhau để mà so sánh 😅
1670,Hài quá,"nói thật 1 món ăn tui ko cần biết là ai của ai , tui chỉ cần biết người nấu ăn nấu có ngon ko , có rẻ ko , dẫu là món đó ví dụ của mình đi và bị ngta lấy thì mình tức chứ , nhưng đó là quy luật mua bán , chứ ngta ăn ỡ quán đó , người đầu bếp đó tạo ra món ăn ngon thì tất nhiên khách hàng sẽ nhớ . à món đó của chú này làm ngon nè , như vậy là đủ :)) còn về mặc khịa và hay móc nhau chắc chỉ có mỹ và việt nam là nhiều , trong khi xài đồ tàu thì có ai xài nhiều bằng việt nam đâu , nghe thật là hài"
1671,Hài quá,Gì cũng nhận. Nhưng thua Nhật là không nhận. Nói cái giãy đành đạch😂
1672,Hài quá,"tao cười vào mặt mấy đứa hay nhận vơ những món ăn ngon của Việt Nam ta, đúng là một lũ có ăn có học mà ngu hơn bò, phải không mọi người. kkkkkk"
1673,Hài quá,dân asanzo
1674,Thật kinh tởm,Cả thế giới đều là của Trung Quốc mà 🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪
1675,Sợ quá,"Dân trung quốc lo mà cải tổ xây dựng lại đất nước tụi bay đi. Mục ruỗng hết r. Cứ ở đấy mà nhận vơ tất cả những thứ tốt đẹp của đất nước khác là của mình. Cái gì xấu xa của đất nước mình thì không dám nhận. Tiên sư chúng mày. Ông tổ của Bách Việt ( Đại Việt sau đó, hiện nay là Việt Nam) đã cai trị lãnh thổ rộng lớn ( bao gồm nhiều vùng lãnh thổ ngày nay là trung quốc tụi bay ) k biết khi đó trung quốc tụi bay đã khai sinh lập quốc chưa. Chúng bay chỉ giỏi thứ tàn ác là dùng mưu mô thủ đoạn xâm lược nuớc khác thôi . Hết 18 đời Vua Hùng lịch sử nuớc tao mới thấy xuất hiện chúng bay. Tao đang nghi ngờ chúng mày là thứ sinh sau đẻ muộn nữa kìa. Lũ cướp nuớc, lũ giết người, lũ buôn người, lũ buôn bán nội tạng, lũ thao túng, lũng đoạn, lừa đảo, chúng mày giết người rồi làm xác khô bán cho triển lãm, ngoài ra biến xác chết thành công nghiệp thực phẩm. Chính những video khui bằng chứng của tụi bay ( như là răng người trong nhân bánh nuớng trung thu... ) chính dân tụi bay kinh hồn khiếp vía. Tụi bay chẳng xứng đáng với điều gì tốt đẹp cả. Ngắn gọn thôi : KINH TỞM 

người dân Việt Nam đừng ăn thực phẩm của trung quốc ( nhất là sản phẩm công nghiệp) , coi chừng ăn phải thực phẩm có chất độc ( chúng nó tẩm chất độc vào thực phẩm r tuồn hàng bán ra nuớc ngoài, điều này đã có từ lâu nhằm hãm hại nuớc khác, ăn k chết ngay nhưng tích tụ thành bệnh để triệt hạ cả một thế hệ hay đất nước ) và mấy năm nay xuất hiện tệ nạn chế biến thịt người đấy. Tệ nạn xã hội trung quốc kinh khủng lắm"
1676,Thật kinh tởm,"Thật ra biết tới tên món ăn và khẳng định thương hiệu không quá khó, nhưng phải kiên trì. Cứ giữ cách làm cơ bản và tên gốc như vậy thay vì đi dịch + đầu tư quảng bá tích cực qua nhiều năm, thêm vị thế quốc tế càng đi lên thì người ta sẽ càng ấn tượng. Có mấy món mình tưởng bt nhưng lại độc lạ với người ta. Cái trò này Nhật Bản làm khá tốt, nên học tập họ"
1677,Hài quá,"cà phê Việt 
không ăn sáng uống thì bị say
cà phê chỉ ngon khi uống nó vào và cảm thấy cần đi ẻ"
1678,Thật kinh tởm,"Cà phê là từ cafe đem từ Pháp qua, nên đừng nhận bừa.  Fin nhỏ giọt cũng học của người Pháp, cũng đừng nhận bừa là VN sáng chế, còn muốn pha chế kiểu gì thì mỗi quốc gia có cách pha chế riêng, thì nên gọi là style, là kiểu cách của người nước đó, không có quyền tưh xưng là có nguồn gốc của mình phát minh ra,  nhái theo pha chế cũng là nhái theo pha chế, không phải là tự sáng tạo  dừng nhầm lẫn mà chê bai người ta mà quên nhìn lại chính mình."
1679,Hài quá,"Thị nguội jambon pate là từ Pháp nhé, chế theo hương vị VN, thì vẫn là học theo người ta thôi, đừng nhận bừa là của VN là được rồi"
1680,Hài quá,TQ nó cố tình gọi món bánh mì của VN là 法棍 ý là bánh mì Pháp
1681,Hài quá,"Cũng cách làm như BÁNH XÈO , nhưng DÒN HƠN thì ở HUẾ được gọi là BÁNH KHOÁI ! Hồi những năm 1950 - 1960 … khi chưa vào SAIGON học thì “CÙI BẮP” TUI chỉ THẤY và BIẾT ở HUẾ chỉ có một Cửa Hàng BÁNH KHOÁI rất nổi tiếng . Đó là Cửa Hàng Bán BÁNH KHOÁI Hiệu “TRẦN KINH . Thời đỉnh cao của “CHIẾN TRANH VIỆT NAM” thì không còn thấy Hiệu BÁNH KHOÁI ấy nữa !
   Còn ở NHÀ QUÊ Xứ HUẾ thì lâu lâu các GIA ĐÌNH tự Đổ BÁNH KHOÁI để mọi người trong nhà cùng ăn — nhất là về MÙA MƯA — cũng như DÂN MIỀN NAM đổ BÁNH XÈO , BÁNH KHỌT vậy !"
1682,Hài quá,Bún .mắm tép .nước mắm.ko chỉ xuất hiện ở VN mà cả khắp châu á đều có
1683,Sợ quá,"người nước ngoài thì thích thú và tôn trọng các món Việt, nhưng giới trẻ Việt ngày nay có vẻ lại ko có vẻ gì muốn gìn giữ và truyền bá về chúng đặc biệt là chả giò và gỏi cuốn. Mình đã từng chứng kiến 1 bạn trẻ có vẻ là hướng dẫn viên du lịch hay đại loại thế đã nói với 1 nhóm bạn người nước ngoài khi đứng trước 1 quán bán mấy món gỏi cuốn, bánh xèo vs các món nộm với đại ý như thế này :
Mấy món này chỉ là mấy món bình thường dành cho người lao động ăn vì nó rẻ và chúng cũng không ngon, nếu muốn ăn đồ ăn Việt  t sẽ dẫn mn đi ăn phở.
mình tự hỏi có phải do sự đơn giản trong cách chế biến và giả cả cũng ko đắt đỏ nên với các bạn ấy chúng chỉ là những món ăn tầm thường và ko có gì đáng tự hào cả"
1684,Thật kinh tởm,gì cũng nhận chỉ có covid của mình thì k nhận 🤷‍♀️ chối đây đẩy😂😂
1685,Thật kinh tởm,cũng không thể nói thế được do Trung Quốc khá rộng với nền văn hóa ẩm thực khá đa dạng đặc biệt là vùng Vân Nam Trung Quốc gia vị khá giống Việt Nam.
1686,Hài quá,Trung Quốc cái gì hay của nước khác cũng nhận vơ là của họ nhưng chỉ có con Covid 19 xuất phát từ Trung Quốc thì họ không chịu nhận 😂😂😂
1687,Hài quá,Chả  vò
1688,Hài quá,Bánh  cuốn.
1689,Hài quá,đúng rồi
1690,Hài quá,"năm 2019 nhóm du khách chúng tôi có Mỹ Nhật Mễ Tàu tới 1 resort ở Vĩnh Long và chủ nhân đã dạy chúng tôi đổ bánh xèo, pha nước mắm có công thức tử tế ai cũng ăn mê mẩn và khi về mỗi người còn mua 2 USD nước mắm về Sài gòn ăn tiếp. Nhớ đời luôn!"
1691,Hài quá,Rảnh thì làm thêm món mới đi 😅😅😅
1692,Hài quá,"Chinese egg roll, hay Spring roll chiên của Trung Quốc được gói bằng vỏ bột dày nên sau khi chiên lên, rất dễ hút và giữ nhiều dầu mỡ trong vỏ bột, khi ăn vào dễ gây bệnh béo phì. Trái lại, những cuốn chả giò chiên của ẩm thực Việt, được gói bằng những miếng bánh tráng mỏng, nên khi chiên lên không thấm và không giữ nhiều dầu mỡ. Đây là một điểm tinh tế mang tính bổ dưỡng lành mạnh ít dầu mỡ của món chả giò chiên trong ẩm thực Việt Nam, và rất khác với ẩm thực nhiều dầu mở của Trung Quốc. Nếu bạn có dịp ghé vào chợ Bến Thành ở Sài Gòn và gọi một đĩa chả giò chiên, và để ý kỹ thì bạn sẽ thấy tất cả các quầy ẩm thực phục vụ bên trong chợ Bến Thành đều bán cùng một loại chả giò chiên kiểu Trung Quốc với vỏ bột dày đầy dầu mỡ, và không hề có một quầy thức ăn nào bán chả giò chiên Việt Nam cuốn bởi bánh tráng. Có vẻ như tất cả món chả giò chiên của các quầy thực phẩm bán bên trong lồng chợ Bến Thành ở Sài Gòn đều được cung cấp bởi cùng một nguồn thương lái!"
1693,Thật kinh tởm,"Bàn về gỏi cuốn thì không thể nào nhầm với món ""summer roll Thái"" hoặc ""Chinese wrap"", bởi vì bánh tráng gạo được dùng để gói gỏi cuốn là đặc sản riêng và duy nhất của Việt Nam, không phải của Thái Lan và Trung Quốc, hoặc bất cứ quốc gia nào trên thế giới. Gỏi cuốn được một số người đưa vào thực đơn trong chương trình giảm cân cho người béo phì, vì tỉ lệ thành phần của carbohydrate (chất đường bột), protein (chất đạm), fiber (chất xơ) và fat (chất béo) trong một gỏi được xem gần như là một bữa ăn nhỏ hoàn hảo. Hơn nữa, rất dễ no sau khi ăn vài gỏi cuốn, giúp người béo phì ăn kiêng tránh thói quen ăn quá nhiều (overeating) không cần thiết."
